id	name	QID	dvp_id	start time	end time	point in time
dvp_007_event_0	World War II	Q362		1939-09-01T00:00:00Z	1945-09-02T00:00:00Z
dvp_007_event_1	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z
dvp_007_event_2	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z
dvp_007_event_3	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z
dvp_007_event_4	Bay of Pigs invasion	Q191721		1961-04-17T00:00:00Z	1961-04-19T00:00:00Z
dvp_007_event_5	Bay of Pigs invasion	Q191721		1961-04-17T00:00:00Z	1961-04-19T00:00:00Z
dvp_007_event_6	World War II	Q362		1939-09-01T00:00:00Z	1945-09-02T00:00:00Z
dvp_007_event_7	World War II	Q362		1939-09-01T00:00:00Z	1945-09-02T00:00:00Z
dvp_007_event_8	World War I	Q361		1914-07-28T00:00:00Z	1918-11-11T00:00:00Z
dvp_007_event_9	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z
dvp_007_event_10	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z
dvp_007_event_11	Operation Neptune Spear	Q28846185		2011-05-01T00:00:00Z	2011-05-02T00:00:00Z
dvp_007_event_12	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z
dvp_007_event_13	Tet Offensive	Q82542		1968-01-30T00:00:00Z	1968-09-23T00:00:00Z
dvp_007_event_14	Tet Offensive	Q82542		1968-01-30T00:00:00Z	1968-09-23T00:00:00Z
dvp_007_event_15	World War II	Q362		1939-09-01T00:00:00Z	1945-09-02T00:00:00Z
dvp_007_event_16	World War II	Q362		1939-09-01T00:00:00Z	1945-09-02T00:00:00Z
dvp_007_event_17	World War II	Q362		1939-09-01T00:00:00Z	1945-09-02T00:00:00Z
dvp_007_event_18	Six-Day War	Q49077		1967-06-05T00:00:00Z	1967-06-10T00:00:00Z
dvp_007_event_19	Transpacific Yacht Race of 1967	Q106987148				1967-07-04T00:00:00Z
dvp_007_event_20	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z
dvp_007_event_21	Tet Offensive	Q82542		1968-01-30T00:00:00Z	1968-09-23T00:00:00Z
dvp_007_event_22	Korean War	Q8663		1950-06-25T00:00:00Z	1953-07-27T00:00:00Z
dvp_007_event_23	Tet Offensive	Q82542		1968-01-30T00:00:00Z	1968-09-23T00:00:00Z
dvp_007_event_24	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z
dvp_007_event_25	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z
dvp_007_event_26	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z
dvp_007_event_27	World War II	Q362		1939-09-01T00:00:00Z	1945-09-02T00:00:00Z
