id	name	QID	dvp_id	end time	start time	point in time
dvp_077_event_0	the McGovern election	Q644161				1972-11-07T00:00:00Z
dvp_077_event_1	Woodstock Festival	Q164815		1969-08-18T00:00:00Z	1969-08-15T00:00:00Z	
dvp_077_event_2	Woodstock Festival	Q164815		1969-08-18T00:00:00Z	1969-08-15T00:00:00Z	
dvp_077_event_3	Vietnam War	Q8740		1975-04-30T00:00:00Z	1959-01-01T00:00:00Z	
dvp_077_event_4	Vietnam War	Q8740		1975-04-30T00:00:00Z	1959-01-01T00:00:00Z	
dvp_077_event_5	Operation Desert Storm	Q2349281		1991-02-28T00:00:00Z	1991-01-17T00:00:00Z	
dvp_077_event_6	Vietnam War	Q8740		1975-04-30T00:00:00Z	1959-01-01T00:00:00Z	
dvp_077_event_7	Vietnam War	Q8740		1975-04-30T00:00:00Z	1959-01-01T00:00:00Z	
