id	name	QID	end time2	point in time2	start time2	dvp_id
dvp_003_event_0	Great Depression	Q8698	1941-01-01T00:00:00Z		1929-10-24T00:00:00Z	
dvp_003_event_1	Bay of Pigs invasion	Q191721	1961-04-19T00:00:00Z	1961-04-20T00:00:00Z	1961-04-17T00:00:00Z	
dvp_003_event_2	assassination of John F. Kennedy	Q193484		1963-11-22T00:00:00Z		
dvp_003_event_3	Battle of Dien Bien Phu	Q604897	1954-05-07T00:00:00Z	1954-05-07T00:00:00Z	1954-03-13T00:00:00Z	
dvp_003_event_4	Tet Offensive	Q82542	1968-09-23T00:00:00Z	1968-09-23T00:00:00Z	1968-01-30T00:00:00Z	
dvp_003_event_5	Tet Offensive	Q82542	1968-09-23T00:00:00Z	1968-09-23T00:00:00Z	1968-01-30T00:00:00Z	
dvp_003_event_6	assassination of Martin Luther King Jr.	Q757963		1968-04-04T00:00:00Z		
dvp_003_event_7	assassination of Robert F. Kennedy	Q1187550		1968-06-05T00:00:00Z		
dvp_003_event_8	Vietnam War	Q8740	1975-04-30T00:00:00Z	1955-11-01T00:00:00Z	1965-11-01T00:00:00Z	
dvp_003_event_9	World War II	Q362	1945-09-02T00:00:00Z		1939-09-01T00:00:00Z	
