id	name	QID	dvp_id	end time	point in time	start time
dvp_013_event1	World War II	Q362		1945-09-02T00:00:00Z		1939-09-01T00:00:00Z
dvp_013_event2	Vietnam War	Q8740		1975-04-30T00:00:00Z	1955-11-01T00:00:00Z	1965-11-01T00:00:00Z
dvp_013_event3	Vietnam War	Q8740		1975-04-30T00:00:00Z	1955-11-01T00:00:00Z	1965-11-01T00:00:00Z
dvp_013_event4	World War II	Q362		1945-09-02T00:00:00Z		1939-09-01T00:00:00Z
dvp_013_event5	American Civil War	Q8676		1865-05-10T00:00:00Z	1861-04-12T00:00:00Z	1861-04-11T00:00:00Z
dvp_013_event6	Tet Offensive	Q82542		1968-09-23T00:00:00Z	1968-09-23T00:00:00Z	1968-01-30T00:00:00Z
