id	orgName	QID	dvd_id
dvp_021_org_0	Dartmouth Vietnam Project	Q104889683	
dvp_021_org_1	Dartmouth College	Q49116	
dvp_021_org_2	Yale University	Q49112	
dvp_021_org_3	Williams College	Q49166	
dvp_021_org_4	Trinity College	Q332342	
dvp_021_org_5	Dartmouth College	Q49116	
dvp_021_org_6	Dartmouth College	Q49116	
dvp_021_org_7	Class of ’30		dvp_0229
dvp_021_org_8	Class of ’57		dvp_0721
dvp_021_org_9	Class of ’45		dvp_0722
dvp_021_org_10	Dartmouth College	Q49116	
dvp_021_org_11	Ivy League	Q49113	
dvp_021_org_12	Williams College	Q49166	
dvp_021_org_13	Trinity College	Q332342	
dvp_021_org_14	Dartmouth College	Q49116	
dvp_021_org_15	Dartmouth College	Q49116	
dvp_021_org_16	Princeton University	Q21578	
dvp_021_org_17	NAVY Reserves Officer Training Corps	Q101243251	
dvp_021_org_18	Dartmouth Outing Club (DOC)	Q101243244	
dvp_021_org_19	Ledyard Canoe Club	Q104904105	
dvp_021_org_20	Ledyard Canoe Club	Q104904105	
dvp_021_org_21	Ledyard Canoe Club	Q104904105	
dvp_021_org_22	NAVY Reserves Officer Training Corps	Q101243251	
dvp_021_org_23	NAVY Reserves Officer Training Corps	Q101243251	
dvp_021_org_24	NAVY Reserves Officer Training Corps	Q101243251	
dvp_021_org_25	NAVY Reserves Officer Training Corps	Q101243251	
dvp_021_org_26	United States Navy	Q11220	
dvp_021_org_27	United States Navy	Q11220	
dvp_021_org_28	NAVY Reserves Officer Training Corps	Q101243251	
dvp_021_org_29	United States Army	Q9212	
dvp_021_org_30	United States Navy	Q11220	
dvp_021_org_31	NAVY Reserves Officer Training Corps	Q101243251	
dvp_021_org_32	United States Navy	Q11220	
dvp_021_org_33	United States Army	Q9212	
dvp_021_org_34	United States Navy	Q11220	
dvp_021_org_35	United States Navy	Q11220	
dvp_021_org_36	United States Army	Q9212	
dvp_021_org_37	United States Navy	Q11220	
dvp_021_org_38	United States Navy	Q11220	
dvp_021_org_39	United States Navy	Q11220	
dvp_021_org_40	NAVY Reserves Officer Training Corps	Q101243251	
dvp_021_org_41	NAVY Reserves Officer Training Corps	Q101243251	
dvp_021_org_42	United States Navy	Q11220	
dvp_021_org_43	United States Navy	Q11220	
dvp_021_org_44	United States Navy	Q11220	
dvp_021_org_45	United States Navy	Q11220	
dvp_021_org_46	United States Navy	Q11220	
dvp_021_org_47	United States Marine Corps	Q11218	
dvp_021_org_48	United States Navy	Q11220	
dvp_021_org_49	NAVY Reserves Officer Training Corps	Q101243251	
dvp_021_org_50	NAVY Reserves Officer Training Corps	Q101243251	
dvp_021_org_51	United States Armed Forces	Q11211	
dvp_021_org_52	United States Marine Corps	Q11218	
dvp_021_org_53	United States Marine Corps	Q11218	
dvp_021_org_54	United States Marine Corps	Q11218	
dvp_021_org_55	United States Marine Corps	Q11218	
dvp_021_org_56	United States Navy	Q11220	
dvp_021_org_57	United States Navy	Q11220	
dvp_021_org_58	United States Secretary of the Navy	Q940135	
dvp_021_org_59	United States Navy	Q11220	
dvp_021_org_60	United States Navy	Q11220	
dvp_021_org_61	United States Navy	Q11220	
dvp_021_org_62	United States Marine Corps	Q11218	
dvp_021_org_63	United States Marine Corps	Q11218	
dvp_021_org_64	National Rifle Association	Q863259	
dvp_021_org_65	United States Marine Corps	Q11218	
dvp_021_org_66	United States Army	Q9212	
dvp_021_org_67	United States Marine Corps	Q11218	
dvp_021_org_68	United States Marine Corps	Q11218	
dvp_021_org_69	United States Marine Corps	Q11218	
dvp_021_org_70	Dartmouth College	Q49116	
dvp_021_org_71	Dartmouth College	Q49116	
dvp_021_org_72	Dartmouth College	Q49116	
dvp_021_org_73	United States Marine Corps	Q11218	
dvp_021_org_74	United States Marine Corps	Q11218	
dvp_021_org_75	United States Marine Corps	Q11218	
dvp_021_org_76	Dartmouth College	Q49116	
dvp_021_org_77	Thayer School of Engineering	Q7711553	
dvp_021_org_78	United States Marine Corps	Q11218	
dvp_021_org_79	United States Marine Corps	Q11218	
dvp_021_org_80	United States Marine Corps	Q11218	
dvp_021_org_81	People's Republic of China	Q148	
dvp_021_org_82	People's Republic of China	Q148	
dvp_021_org_83	Soviet Union	Q15180	
dvp_021_org_84	People's Republic of China	Q148	
dvp_021_org_85	People's Republic of China	Q148	
dvp_021_org_86	Soviet Union	Q15180	
dvp_021_org_87	North Korea	Q423	
dvp_021_org_88	People’s Liberation Army	Q200106	
dvp_021_org_89	North Vietnamese regular army	Q101243309	
dvp_021_org_90	25th Marine Regiment	Q4632292	
dvp_021_org_91	25th Marine Regiment	Q4632292	
dvp_021_org_92	United States of America	Q30	
dvp_021_org_93	United States Department of Defense	Q11209	
dvp_021_org_94	United States of America	Q30	
dvp_021_org_95	9th Marine Regiment	Q4646609	
dvp_021_org_96	3rd Marine Division	Q223547	
dvp_021_org_97	1st Battalion 9th Marines	Q4596201	
dvp_021_org_98	1st Battalion 9th Marines	Q4596201	
dvp_021_org_99	1st Battalion 9th Marines	Q4596201	
dvp_021_org_100	1st Battalion 9th Marines	Q4596201	
dvp_021_org_101	1st Battalion 9th Marines	Q4596201	
dvp_021_org_102	National Front for the Liberation of South Vietnam	Q174423	
dvp_021_org_103	United States Marine Corps	Q11218	
dvp_021_org_104	National Front for the Liberation of South Vietnam	Q174423	
dvp_021_org_105	National Front for the Liberation of South Vietnam	Q174423	
dvp_021_org_106	United States Marine Corps	Q11218	
