id	placeName	QID	coordinate location
dvp_100_place_0	Rauner Special Collections Library	Q98544730	43.70447,-72.28817
dvp_100_place_1	Dartmouth College	Q49116	43.703333333333,-72.288333333333
dvp_100_place_2	Hanover	Q131908	43.7,-72.28333333333333
dvp_100_place_3	Rosebud	Q2019376	43.241111111111,-100.85194444444
dvp_100_place_4	Rosebud	Q2019376	43.241111111111,-100.85194444444
dvp_100_place_5	Vietnam	Q881	16,108
dvp_100_place_6	Fort Sill	Q1018681	34.704166666667,-98.508333333333
dvp_100_place_7	Germany	Q183	51,10
dvp_100_place_8	Vietnam	Q881	16,108
dvp_100_place_9	Vietnam	Q881	16,108
dvp_100_place_10	Vietnam	Q881	16,108
dvp_100_place_11	Saxtons River	Q7428887	43.137777777778,-72.509722222222
dvp_100_place_12	Hanover	Q131908	43.7,-72.28333333333333
dvp_100_place_13	Northeastern United States	Q24460	42,-73
dvp_100_place_14	Chile	Q298	-33,-71
dvp_100_place_15	South Dakota	Q1211	44.5,-100
dvp_100_place_16	New England	Q18389	44.205555555556,-70.306425
dvp_100_place_17	South Dakota	Q1211	44.5,-100
dvp_100_place_18	Vietnam	Q881	16,108
dvp_100_place_19	Vietnam	Q881	16,108
dvp_100_place_20	Vietnam	Q881	16,108
dvp_100_place_21	Fort Bliss	Q707110	31.8298759,-106.3696437
dvp_100_place_22	Fort Lewis	Q3505731	47.080654,-122.5812758
dvp_100_place_23	Fort Gordon	Q1368958	33.413333333333,-82.135277777778
dvp_100_place_24	Fort Sill	Q1018681	34.704166666667,-98.508333333333
dvp_100_place_25	Fort Benning	Q1438462	32.366111111111,-84.969166666667
dvp_100_place_26	Vietnam	Q881	16,108
dvp_100_place_27	Germany	Q183	51,10
dvp_100_place_28	Germany	Q183	51,10
dvp_100_place_29	Taunus	Q158884	50.23333333,8.45
dvp_100_place_30	Germany	Q183	51,10
dvp_100_place_31	Vietnam	Q881	16,108
dvp_100_place_32	Germany	Q183	51,10
dvp_100_place_33	Germany	Q183	51,10
dvp_100_place_34	Vietnam	Q881	16,108
dvp_100_place_35	Vietnam	Q881	16,108
dvp_100_place_36	Germany	Q183	51,10
dvp_100_place_37	Vietnam	Q881	16,108
dvp_100_place_38	Vietnam	Q881	16,108
dvp_100_place_39	Vietnam	Q881	16,108
dvp_100_place_40	Vietnam	Q881	16,108
dvp_100_place_41	Vietnam	Q881	16,108
dvp_100_place_42	Korea	Q18097	38.316666666667,127.23333333333
dvp_100_place_43	Vietnam	Q881	16,108
dvp_100_place_44	Vietnam	Q881	16,108
dvp_100_place_45	Vietnam	Q881	16,108
dvp_100_place_46	Japan	Q17	35,136
dvp_100_place_47	Vietnam	Q881	16,108
dvp_100_place_48	Vietnam	Q881	16,108
dvp_100_place_49	Bien Hoa Air Base	Q619905	10.976944444444,106.81833333333
dvp_100_place_50	Smitty		
dvp_100_place_51	An Khê	Q15179893	13.9530664,108.6569463
dvp_100_place_52	Smitty		
dvp_100_place_53	Wyandanch	Q3460228	40.747222222222,-73.368333333333
dvp_100_place_54	An Khê	Q15179893	13.9530664,108.6569463
dvp_100_place_55	An Khê	Q15179893	13.9530664,108.6569463
dvp_100_place_56	South Vietnam	Q180573	10.75,106.66666666667
dvp_100_place_57	Central Highlands	Q1140648	13.75,108.25
dvp_100_place_58	Tuy Hòa	Q35747	13.0868719,109.308589
dvp_100_place_59	Ban Sang	Q475174	13.995,101.22138888889
dvp_100_place_60	Vietnam	Q881	16,108
dvp_100_place_61	Italy	Q38	42.5,12.5
dvp_100_place_62	Iraq	Q796	33,43
dvp_100_place_63	Afghanistan	Q889	33,66
dvp_100_place_64	Poland	Q36	52,19
dvp_100_place_65	Africa	Q15	21.09375,7.1881
dvp_100_place_66	Vietnam	Q881	16,108
dvp_100_place_67	Cần Giờ	Q626340	10.529166666667,106.875
dvp_100_place_68	Qui Nhơn	Q36081	13.769580555555555,109.23137222222222
dvp_100_place_69	Qui Nhơn	Q36081	13.769580555555555,109.23137222222222
dvp_100_place_70	Qui Nhơn	Q36081	13.769580555555555,109.23137222222222
dvp_100_place_71	Vietnam	Q881	16,108
dvp_100_place_72	Vietnam	Q881	16,108
dvp_100_place_73	Qui Nhơn	Q36081	13.769580555555555,109.23137222222222
dvp_100_place_74	Letterman Army Hospital	Q6533682	37.7994,-122.449
dvp_100_place_75	Camp Asaka	Q4420678	
dvp_100_place_76	Japan	Q17	35,136
dvp_100_place_77	San Francisco	Q62	37.7775,-122.41638888888889
dvp_100_place_78	Japan	Q17	35,136
dvp_100_place_79	Letterman Army Hospital	Q6533682	37.7994,-122.449
