id	orgName	QID	dvp_id
dvp_044_org_130	American Embassy	Q105438924	
dvp_044_org_131	Dartmouth College	Q49116	
dvp_044_org_132	Dartmouth College	Q49116	
dvp_044_org_133	Federal Government of the United States of America	Q48525	
dvp_044_org_134	United States Information Agency	Q1754777	
dvp_044_org_135	United States Information Agency	Q1754777	
dvp_044_org_136	Government of the United Kingdom	Q6063	
dvp_044_org_137	Stanford University	Q41506	
dvp_044_org_138	Stanford University	Q41506	
dvp_044_org_139	National Front for the Liberation of South Vietnam	Q174423	
dvp_044_org_140	Khmer Rouge	Q191764	
dvp_044_org_141	Stanford University	Q41506	
dvp_044_org_142	American University of Beirut	Q469482	
dvp_044_org_143	Algerian	Q5015487	
dvp_044_org_144	Black Panther Party	Q189150	
dvp_044_org_145	University of Algiers	Q1190852	
dvp_044_org_146	Federal Government of the United States of America	Q48525	
dvp_044_org_147	American University of Beirut	Q469482	
dvp_044_org_148	American University of Beirut	Q469482	
dvp_044_org_149	American University of Beirut	Q469482	
dvp_044_org_150	United Nations	Q1065	
dvp_044_org_151	American University of Beirut	Q469482	
dvp_044_org_152	American University of Beirut	Q469482	
dvp_044_org_153	United Nations	Q1065	
dvp_044_org_154	Harvard University	Q13371	
dvp_044_org_155	University of Oxford	Q34433	
dvp_044_org_156	United States Congress	Q11268	
dvp_044_org_157	United States Congress	Q11268	
dvp_044_org_158	American University of Beirut	Q469482	
dvp_044_org_159	American University of Beirut	Q469482	
dvp_044_org_160	United States Congress	Q11268	
dvp_044_org_161	Justice in the Middle East		
dvp_044_org_162	National Front for the Liberation of South Vietnam	Q174423	
dvp_044_org_163	Army of the Republic of Vietnam	Q18917	
dvp_044_org_164	Nobel Prize	Q7191	
dvp_044_org_165	Federal Government of the United States of America	Q48525	
dvp_044_org_166	American University of Beirut	Q469482	
dvp_044_org_167	Palestine Liberation Organization	Q26683	
dvp_044_org_168	Brookings Institution	Q929154	
dvp_044_org_169	American University of Beirut	Q469482	
dvp_044_org_170	American University of Beirut	Q469482	
dvp_044_org_171	Popular Front for the Liberation of Palestine	Q212884	
dvp_044_org_172	American University of Beirut	Q469482	
dvp_044_org_173	American University of Beirut	Q469482	
dvp_044_org_174	Algerian	Q5015487	
dvp_044_org_175	University of Algiers	Q1190852	
dvp_044_org_176	Lebanese Armed Forces	Q1074908	
dvp_044_org_177	South Vietnam	Q180573	
dvp_044_org_178	American Embassy	Q105438924	
dvp_044_org_179	Supreme Court of the United States	Q11201	
dvp_044_org_180	Fifth Circuit Court of Texas	Q250456	
dvp_044_org_181	Federal Government of the United States of America	Q48525	
dvp_044_org_182	South Vietnam	Q180573	
dvp_044_org_183	Bolsheviks	Q83372	
dvp_044_org_184	Dartmouth College	Q49116	
dvp_044_org_185	Federal Government of the United States of America	Q48525	
dvp_044_org_186	United States Department of State	Q789915	
dvp_044_org_187	United States Department of State	Q789915	
dvp_044_org_188	United States Foreign Service	Q3480437	
dvp_044_org_189	United States Department of State	Q789915	
dvp_044_org_190	United States Department of State	Q789915	
dvp_044_org_191	Central Intelligence Agency	Q37230	
dvp_044_org_192	United States Armed Forces	Q11211	
dvp_044_org_193	United States Environmental Protection Agency	Q460173	
dvp_044_org_194	United States Department of Energy	Q217810	
dvp_044_org_195	MCI Inc.	Q1881291	
dvp_044_org_196	MCI Inc.	Q1881291	
dvp_044_org_197	AT&T	Q35476	
dvp_044_org_198	AT&T	Q35476	
dvp_044_org_199	Sprint Corporation	Q301965	
dvp_044_org_200	MCI Inc.	Q1881291	
dvp_044_org_201	MCI Inc.	Q1881291	
dvp_044_org_202	Wells Fargo	Q744149	
