id	placeName	QID	dvp_id	coordinates
dvp_002_place_0	Rauner Special Collections Library	Q98544730		43.70447,-72.28817
dvp_002_place_1	Dartmouth College	Q49116		43.703333333333,-72.288333333333
dvp_002_place_2	Hanover	Q131908		43.7,-72.28333333333333
dvp_002_place_3	Massachusetts	Q771		42.3,-71.8
dvp_002_place_4	Niagara Falls	Q128133		43.093889,-79.016944
dvp_002_place_5	Philadelphia	Q1345		39.952777777778,-75.163611111111
dvp_002_place_6	Wynnewood	Q8040222		40.0028,-75.2708
dvp_002_place_7	Niagara Falls	Q128133		43.093889,-79.016944
dvp_002_place_8	Love Canal	Q1872409		43.080518,-78.948956
dvp_002_place_9	Niagara Falls	Q128133		43.093889,-79.016944
dvp_002_place_10	Lyndonville	Q6708760		44.533611111111,-72.003055555556
dvp_002_place_11	Dartmouth College	Q49116		43.703333333333,-72.288333333333
dvp_002_place_12	Lake Geneva	Q82230		42.5925,-88.434444444444
dvp_002_place_13	Harvard University	Q13371		42.374443888889,-71.116943888889
dvp_002_place_14	Ohiri Field	Q7081069		42.3654,-71.1256
dvp_002_place_15	Hanover	Q131908		43.7,-72.28333333333333
dvp_002_place_16	Ithaca	Q217346		42.443333333333,-76.5
dvp_002_place_17	Dartmouth College	Q49116		43.703333333333,-72.288333333333
dvp_002_place_18	Mount Moosilauke	Q3321961		44.024511111111,-71.830916666667
dvp_002_place_19	New Hampshire Hall	Q101537382		43.70252,-72.28664
dvp_002_place_20	New Hampshire Hall	Q101537382		43.70252,-72.28664
dvp_002_place_21	University of Kentucky	Q1360303		38.033333333333,-84.5
dvp_002_place_22	Dartmouth College	Q49116		43.703333333333,-72.288333333333
dvp_002_place_23	United States of America	Q30		39.828175,-98.5795
dvp_002_place_24	Dartmouth College	Q49116		43.703333333333,-72.288333333333
dvp_002_place_25	Buffalo	Q40435		42.904722222222,-78.849444444444
dvp_002_place_26	Buffalo	Q40435		42.904722222222,-78.849444444444
dvp_002_place_27	Veterans Administration hospital	Q95984744		42.27889,-71.16826
dvp_002_place_28	Boston	Q100		42.358333333333,-71.0625
dvp_002_place_29	Philadelphia	Q1345		39.952777777778,-75.163611111111
dvp_002_place_30	Philadelphia	Q1345		39.952777777778,-75.163611111111
dvp_002_place_31	University of Pennsylvania	Q49117		39.953885,-75.193048
dvp_002_place_32	University of Pennsylvania	Q49117		39.953885,-75.193048
dvp_002_place_33	Dartmouth College	Q49116		43.703333333333,-72.288333333333
dvp_002_place_34	Philadelphia	Q1345		39.952777777778,-75.163611111111
dvp_002_place_35	Vietnam	Q881		16,108
dvp_002_place_36	Vietnam	Q881		16,108
dvp_002_place_37	Fort Dix	Q1087169		40.019166666667,-74.522777777778
dvp_002_place_38	New Jersey	Q1408		40,-74.5
dvp_002_place_39	Vietnam	Q881		16,108
dvp_002_place_40	Fort Dix	Q1087169		40.019166666667,-74.522777777778
dvp_002_place_41	Korea	Q18097		38.316666666667,127.23333333333
dvp_002_place_42	Vietnam	Q881		16,108
dvp_002_place_43	South Korea	Q884		36,128
dvp_002_place_44	South Korea	Q884		36,128
dvp_002_place_45	Vietnam	Q881		16,108
dvp_002_place_46	Fort Dix	Q1087169		40.019166666667,-74.522777777778
dvp_002_place_47	Fort Carson	Q602739		38.555555555556,-104.8425
dvp_002_place_48	Fort Dix	Q1087169		40.019166666667,-74.522777777778
dvp_002_place_49	Fort Carson	Q602739		38.555555555556,-104.8425
dvp_002_place_50	Fort Dix	Q1087169		40.019166666667,-74.522777777778
dvp_002_place_51	Fort Carson	Q602739		38.555555555556,-104.8425
dvp_002_place_52	Fort Carson	Q602739		38.555555555556,-104.8425
dvp_002_place_53	Fort Carson	Q602739		38.555555555556,-104.8425
dvp_002_place_54	Fort Carson	Q602739		38.555555555556,-104.8425
dvp_002_place_55	Massachusetts	Q771		42.3,-71.8
dvp_002_place_56	Fort Carson	Q602739		38.555555555556,-104.8425
dvp_002_place_57	Colorado	Q1261		39,-105.5
dvp_002_place_58	Yellowstone National Park	Q351		44.5964446,-110.5471962
dvp_002_place_59	Grand Teton National Park	Q222695		43.833333333333,-110.70083333333
dvp_002_place_60	Glacier National Park	Q373567		48.57,-113.72
dvp_002_place_61	Wake Island	Q43296		19.3,166.63333333333
dvp_002_place_62	Guam	Q16635		13.5,144.8
dvp_002_place_63	Philippines	Q928		12,123
dvp_002_place_64	Da Nang Air Base	Q1656800		16.043888888889,108.19944444444
dvp_002_place_65	Da Nang	Q25282		16.031944444444445,108.22055555555555
dvp_002_place_66	Quảng Trị Combat Base	Q18640049		16.775, 107.161
dvp_002_place_67	I Corps	Q5976677		15.5394, 108.0191
dvp_002_place_68	Vietnam	Q881		16,108
dvp_002_place_69	Vietnam	Q881		16,108
dvp_002_place_70	Vietnam	Q881		16,108
dvp_002_place_71	United States of America	Q30		39.828175,-98.5795
dvp_002_place_72	Fort Carson	Q602739		38.555555555556,-104.8425
dvp_002_place_73	United States of America	Q30		39.828175,-98.5795
dvp_002_place_74	Vietnam	Q881		16,108
dvp_002_place_75	Vietnam	Q881		16,108
dvp_002_place_76	Con Thien	Q1626571		16.90972222,106.98
dvp_002_place_77	Quảng Trị	Q36579		16.75,107
dvp_002_place_78	Quảng Trị	Q36579		16.75,107
dvp_002_place_79	Con Thien	Q1626571		16.90972222,106.98
dvp_002_place_80	Con Thien	Q1626571		16.90972222,106.98
dvp_002_place_81	Con Thien	Q1626571		16.90972222,106.98
dvp_002_place_82	Con Thien	Q1626571		16.90972222,106.98
dvp_002_place_83	Charlie 2	Q60785038		16.855, 107.005
dvp_002_place_84	Charlie 2	Q60785038		16.855, 107.005
dvp_002_place_85	Con Thien	Q1626571		16.90972222,106.98
dvp_002_place_86	Vietnam	Q881		16,108
dvp_002_place_87	Vietnamese Demilitarized Zone	Q2349960		17.0021, 107.05
dvp_002_place_88	Con Thien	Q1626571		16.90972222,106.98
dvp_002_place_89	Con Thien	Q1626571		16.90972222,106.98
dvp_002_place_90	New Jersey	Q1408		40,-74.5
dvp_002_place_91	Vietnam	Q881		16,108
dvp_002_place_92	Colorado Springs	Q49258		38.863333333333,-104.79194444444
dvp_002_place_93	Vietnam	Q881		16,108
dvp_002_place_94	Con Thien	Q1626571		16.90972222,106.98
dvp_002_place_95	Đông Hà Combat Base	Q18639588		16.813,107.116
dvp_002_place_96	Quảng Trị	Q36579		16.75,107
dvp_002_place_97	LZ Sharon	Q102124091		16.6857,107.156
dvp_002_place_98	Firebase Pedro	Q18712972		16.4236, 107.622
dvp_002_place_99	LZ Sharon	Q102124091		16.6857,107.156
dvp_002_place_100	Quảng Trị	Q36579		16.75,107
dvp_002_place_101	Vietnam	Q881		16,108
dvp_002_place_102	Seattle	Q5083		47.60621,-122.33207
dvp_002_place_103	California	Q99		37,-120
dvp_002_place_104	Massachusetts	Q771		42.3,-71.8
dvp_002_place_105	Detroit	Q12439		42.331666666667,-83.0475
dvp_002_place_106	Vietnam	Q881		16,108
dvp_002_place_107	Vietnamese Demilitarized Zone	Q2349960		17.0021, 107.05
dvp_002_place_108	Quảng Trị	Q36579		16.75,107
dvp_002_place_109	Quảng Trị	Q36579		16.75,107
dvp_002_place_110	Boston	Q100		42.358333333333,-71.0625
dvp_002_place_111	Japan	Q17		35,136
dvp_002_place_112	United States of America	Q30		39.828175,-98.5795
dvp_002_place_113	Alaska	Q797		64,-150
dvp_002_place_114	Washington, D.C.	Q61		38.895,-77.036666666667
dvp_002_place_115	Washington, D.C.	Q61		38.895,-77.036666666667
dvp_002_place_116	Buffalo	Q40435		42.904722222222,-78.849444444444
dvp_002_place_117	Boston	Q100		42.358333333333,-71.0625
dvp_002_place_118	Chelsea Naval Hospital	Q5090110		42.3897,-71.0476
dvp_002_place_119	Quảng Trị	Q36579		16.75,107
dvp_002_place_120	Japan	Q17		35,136
dvp_002_place_121	Da Nang	Q25282		16.031944444444445,108.22055555555555
dvp_002_place_122	Quảng Trị	Q36579		16.75,107
dvp_002_place_123	Japan	Q17		35,136
dvp_002_place_124	Boston	Q100		42.358333333333,-71.0625
dvp_002_place_125	Chelsea Naval Hospital	Q5090110		42.3897,-71.0476
dvp_002_place_126	Boston	Q100		42.358333333333,-71.0625
dvp_002_place_127	Japan	Q17		35,136
dvp_002_place_128	Boston	Q100		42.358333333333,-71.0625
dvp_002_place_129	Japan	Q17		35,136
