id	name	QID	start time	end time	point in time
dvp_051_event_0	Korean War	Q8663	1950-06-25T00:00:00Z	1953-07-27T00:00:00Z	
dvp_051_event_1	Korean War	Q8663	1950-06-25T00:00:00Z	1953-07-27T00:00:00Z	
dvp_051_event_2	American Revolutionary War	Q40949	1775-04-19T00:00:00Z	1783-09-03T00:00:00Z	
dvp_051_event_3	assassination of John F. Kennedy	Q193484			1963-11-22T00:00:00Z
dvp_051_event_4	Cuban Missile Crisis	Q128160	1962-10-14T00:00:00Z	1962-10-28T00:00:00Z	
dvp_051_event_5	assassination of John F. Kennedy	Q193484			1963-11-22T00:00:00Z
dvp_051_event_6	Gulf of Tonkin	Q482402	1964-08-02T00:00:00Z	1964-08-04T00:00:00Z	
dvp_051_event_7	Lyndon Johnson's July 28, 1965 Press Conference	Q105708868			1965-07-28T00:00:00Z
dvp_051_event_8	Vietnam War	Q8740	1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_051_event_9	Cuban Missile Crisis	Q128160	1962-10-14T00:00:00Z	1962-10-28T00:00:00Z	
dvp_051_event_10	Vietnam War	Q8740	1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
