id	placeName	QID	dvp_id	coordinate location
dvp_031_place_124	Vietnam	Q881		16,108
dvp_031_place_125	Vietnam	Q881		16,108
dvp_031_place_126	Vietnam	Q881		16,108
dvp_031_place_127	Vietnam	Q881		16,108
dvp_031_place_128	Vietnam	Q881		16,108
dvp_031_place_129	Vietnam	Q881		16,108
dvp_031_place_130	Vietnam	Q881		16,108
dvp_031_place_131	United States of America	Q30		39.828175,-98.5795
dvp_031_place_132	Afghanistan	Q889		34,66
dvp_031_place_133	Iraq	Q796		33,43
dvp_031_place_134	Washington, D.C.	Q61		38.895,-77.036666666667
dvp_031_place_135	Vietnam	Q881		16,108
dvp_031_place_136	Baghdad Central Prison	Q334740		33.291389,44.066111
dvp_031_place_137	Vietnam	Q881		16,108
dvp_031_place_138	Vietnam	Q881		16,108
dvp_031_place_139	Tan Son Nhut Air Base	Q4115006		10.818888888889,106.65194444444
dvp_031_place_140	Ho Chi Minh City	Q1854		10.816666666667,106.63333333333
dvp_031_place_141	Vietnamese coast		dvp_0202	10.558970, 107.542002
dvp_031_place_142	Vietnam	Q881		16,108
dvp_031_place_143	Vietnam	Q881		16,108
dvp_031_place_144	South Vietnam	Q180573		10.75,106.66666666667
dvp_031_place_145	Yemen	Q805		15.5,48
dvp_031_place_146	Iraq	Q796		33,43
dvp_031_place_147	Afghanistan	Q889		34,66
dvp_031_place_148	Vietnam	Q881		16,108
dvp_031_place_149	United States of America	Q30		39.828175,-98.5795
dvp_031_place_150	Vietnam	Q881		16,108
dvp_031_place_151	Fort George G. Meade	Q509549		39.1069,-76.7431
dvp_031_place_152	Maryland	Q1391		39,-76.7
dvp_031_place_153	United States of America	Q30		39.828175,-98.5795
dvp_031_place_154	Vietnam	Q881		16,108
dvp_031_place_155	United States of America	Q30		39.828175,-98.5795
dvp_031_place_156	Vietnam	Q881		16,108
dvp_031_place_157	United States of America	Q30		39.828175,-98.5795
dvp_031_place_158	Baltimore	Q5092		39.286388888889,-76.615
dvp_031_place_159	Revco [CVS] pharmacy			
dvp_031_place_160	United States of America	Q30		39.828175,-98.5795
dvp_031_place_161	Vietnam	Q881		16,108
dvp_031_place_162	Ho Chi Minh City	Q1854		10.816666666667,106.63333333333
dvp_031_place_163	Benghazi	Q40816		32.116666666667,20.066666666667
dvp_031_place_164	Baltimore	Q5092		39.286388888889,-76.615
