id	name	Qid	start time	end time	point in time
dvp_085_event_0	Rosenberg Trial	Q77894451	1951-03-06T00:00:00Z	1951-04-05T00:00:00Z	
dvp_085_event_1	World War II	Q362	1939-09-01T00:00:00Z	1945-09-02T00:00:00Z	
dvp_085_event_2	World War II	Q362	1939-09-01T00:00:00Z	1945-09-02T00:00:00Z	
dvp_085_event_3	March on Washington for Jobs and Freedom	Q80079531			1963-08-23T00:00:00Z
dvp_085_event_4	Vietnam War	Q8740	1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
