id	placeName	coordinate location	QID	dvp_id
dvp_077_place_120	Barcelona	41.3825,2.1769444444444	Q1492	
dvp_077_place_121	New Zealand	-41.2,174	Q664	
dvp_077_place_122	New Zealand	-41.2,174	Q664	
dvp_077_place_123	Australia	-28,137	Q408	
dvp_077_place_124	Australia	-28,137	Q408	
dvp_077_place_125	Australia	-28,137	Q408	
dvp_077_place_126	New Zealand	-41.2,174	Q664	
dvp_077_place_127	Vermont	44,-72.7	Q16551	
dvp_077_place_128	Randolph	43.9374491,-72.606596	Q1441076	
dvp_077_place_129	Vermont	44,-72.7	Q16551	
dvp_077_place_130	Randolph	42.1625,-71.041666666667	Q54191	
