id	name	QID	dvp_id	end time	point in time	start time
dvp_012_event1	Cold War	Q8683		1991-01-01T00:00:00Z		1947-01-01T00:00:00Z
dvp_012_event2	Korean War	Q8663		1953-07-27T00:00:00Z		1950-06-25T00:00:00Z
dvp_012_event3	World War I	Q361		1918-11-11T00:00:00Z		1914-07-28T00:00:00Z
dvp_012_event4	World War II	Q362		1945-09-02T00:00:00Z		1939-09-01T00:00:00Z
dvp_012_event5	Bataan Death March	Q555797			1942-04-09T00:00:00Z	
dvp_012_event6	Winter Carnival					
dvp_012_event7	Vietnam War	Q8740		1975-04-30T00:00:00Z	1955-11-01T00:00:00Z	1965-11-01T00:00:00Z
dvp_012_event8	Vietnam War	Q8740		1975-04-30T00:00:00Z	1955-11-01T00:00:00Z	1965-11-01T00:00:00Z
dvp_012_event9	Tet Offensive	Q82542		1968-09-23T00:00:00Z	1968-09-23T00:00:00Z	1968-01-30T00:00:00Z
dvp_012_event10	Korean War	Q8663		1953-07-27T00:00:00Z		1950-06-25T00:00:00Z
dvp_012_event11	Tet Offensive	Q82542		1968-09-23T00:00:00Z	1968-09-23T00:00:00Z	1968-01-30T00:00:00Z
dvp_012_event12	Tet Offensive	Q82542		1968-09-23T00:00:00Z	1968-09-23T00:00:00Z	1968-01-30T00:00:00Z
dvp_012_event13	Iraq War	Q545449		2011-12-15T00:00:00Z		2003-03-20T00:00:00Z
dvp_012_event14	Afghanistan War	Q182865		2014-12-28T00:00:00Z		2001-10-07T00:00:00Z
dvp_012_event15	American Revolutionary War	Q40949		1783-09-03T00:00:00Z	0004-09-01T00:00:00Z	1775-04-19T00:00:00Z
