id	placeName	QID	dvp_id	coordinate location
dvp_052_place_110	The Pentagon	Q11208		38.871111,-77.055833
dvp_052_place_111	Vietnam	Q881		16,108
dvp_052_place_112	Vietnam	Q881		16,108
dvp_052_place_113	Vietnam	Q881		16,108
dvp_052_place_114	Vietnam	Q881		16,108
dvp_052_place_115	Vietnam	Q881		16,108
dvp_052_place_116	Portland	Q6106		45.516666666667,-122.66666666667
dvp_052_place_117	Vietnam	Q881		16,108
dvp_052_place_118	People's Republic of China	Q148		35.844722222222224,103.45194444444445
dvp_052_place_119	Vietnam	Q881		16,108
dvp_052_place_120	Iraq	Q796		33,43
dvp_052_place_121	Vietnam	Q881		16,108
dvp_052_place_122	Ho Chi Minh City	Q1854		10.816666666667,106.63333333333
dvp_052_place_123	Ho Chi Minh City	Q1854		10.816666666667,106.63333333333
dvp_052_place_124	Ho Chi Minh City	Q1854		10.816666666667,106.63333333333
dvp_052_place_125	Ho Chi Minh City	Q1854		10.816666666667,106.63333333333
dvp_052_place_126	Ho Chi Minh City	Q1854		10.816666666667,106.63333333333
dvp_052_place_127	Da Nang	Q25282		16.031944444444445,108.22055555555555
dvp_052_place_128	Khe Sanh	Q1924264		16.627211111111,106.73733333333
dvp_052_place_129	United States of America	Q30		39.828175,-98.5795
dvp_052_place_130	Vietnam	Q881		16,108
