id	placeName	QID	dvp_id	coordinate location
dvp_049_place_136	Parkhurst Hall	Q100952777		43.70404,-72.28995
dvp_049_place_137	South Africa	Q258		-29,24
dvp_049_place_138	South Africa	Q258		-29,24
dvp_049_place_139	South Africa	Q258		-29,24
dvp_049_place_140	The Pentagon	Q11208		38.871111,-77.055833
dvp_049_place_141	Washington, D.C.	Q61		38.895,-77.036666666667
dvp_049_place_142	California	Q99		37,-120
dvp_049_place_143	United States of America	Q30		39.828175,-98.5795
dvp_049_place_144	Alabama	Q173		32.7,-86.7
dvp_049_place_145	United States of America	Q30		39.828175,-98.5795
