id	placeName	QID	dvp_id	coordinate location
dvp_032_place_182	Washington, D.C.	Q61		38.895,-77.036666666667
dvp_032_place_183	Vietnam	Q881		16,108
dvp_032_place_184	Fort Belvoir	Q1375761		38.7197,-77.1546
dvp_032_place_185	Fort Belvoir	Q1375761		38.7197,-77.1546
dvp_032_place_186	Vietnam	Q881		16,108
dvp_032_place_187	United States of America	Q30		39.828175,-98.5795
dvp_032_place_188	Vietnam	Q881		16,108
dvp_032_place_189	Vietnam	Q881		16,108
dvp_032_place_190	Vietnam	Q881		16,108
dvp_032_place_191	Nashua	Q48274		42.7575,-71.464444444444
dvp_032_place_192	Fort Belvoir	Q1375761		38.7197,-77.1546
dvp_032_place_193	New Hampshire	Q759		44,-71.5
dvp_032_place_194	Washington, D.C.	Q61		38.895,-77.036666666667
dvp_032_place_195	Reading	Q2318684		42.525555555556,-71.095833333333
dvp_032_place_196	Boston	Q100		42.358333333333,-71.0625
dvp_032_place_197	Hong Kong	Q8646		22.278333333333,114.15861111111
dvp_032_place_198	London	Q84		51.507222222222,-0.1275
dvp_032_place_199	Buenos Aires	Q1486		-34.599722222222,-58.381944444444
dvp_032_place_200	Argentina	Q414		-34,-64
dvp_032_place_201	Argentina	Q414		-34,-64
dvp_032_place_202	Chile	Q298		-33,-71
dvp_032_place_203	Chile	Q298		-33,-71
dvp_032_place_204	London	Q84		51.507222222222,-0.1275
dvp_032_place_205	Hong Kong	Q8646		22.278333333333,114.15861111111
dvp_032_place_206	United States of America	Q30		39.828175,-98.5795
dvp_032_place_207	Hong Kong	Q8646		22.278333333333,114.15861111111
dvp_032_place_208	Nile	Q3392		0.4174,33.1951
dvp_032_place_209	Sweden	Q34		61,15
dvp_032_place_210	Scandinavia	Q21195		64.779642,14.760936
dvp_032_place_211	Nepal	Q837		28,84
dvp_032_place_212	Korea	Q18097		38.316666666667,127.23333333333
dvp_032_place_213	Hong Kong	Q8646		22.278333333333,114.15861111111
dvp_032_place_214	Boston	Q100		42.358333333333,-71.0625
dvp_032_place_215	Singapore	Q334		1.3,103.8
dvp_032_place_216	Ho Chi Minh City	Q1854		10.816666666667,106.63333333333
dvp_032_place_217	Hong Kong	Q8646		22.278333333333,114.15861111111
dvp_032_place_218	Hong Kong	Q8646		22.278333333333,114.15861111111
dvp_032_place_219	Vietnam	Q881		16,108
dvp_032_place_220	Angkor Wat	Q43473		13.4125,103.86666666667
dvp_032_place_221	Vietnam	Q881		16,108
dvp_032_place_222	Ho Chi Minh City	Q1854		10.816666666667,106.63333333333
dvp_032_place_223	Phnom Penh	Q1850		11.569583333333,104.92102777778
dvp_032_place_224	Angkor Wat	Q43473		13.4125,103.86666666667
dvp_032_place_225	Vietnam	Q881		16,108
dvp_032_place_226	Saigon	Q105076255		10.816667,106.633333
dvp_032_place_227	Ho Chi Minh City	Q1854		10.816666666667,106.63333333333
dvp_032_place_228	Rex Hotel	Q7319215		10.77583333,106.7015
dvp_032_place_229	England	Q21		53,-1
dvp_032_place_230	France	Q142		47,2
dvp_032_place_231	Germany	Q183		51,10
dvp_032_place_232	United States of America	Q30		39.828175,-98.5795
dvp_032_place_233	Hong Kong	Q8646		22.278333333333,114.15861111111
dvp_032_place_234	Japan	Q17		35,136
dvp_032_place_235	Soviet Union	Q15180		65,90
dvp_032_place_236	Poland	Q36		52,19
dvp_032_place_237	Poland	Q36		52,19
dvp_032_place_238	Hong Kong	Q8646		22.278333333333,114.15861111111
dvp_032_place_239	Vietnam	Q881		16,108
dvp_032_place_240	Texas	Q1439		31,-100
dvp_032_place_241	United States of America	Q30		39.828175,-98.5795
dvp_032_place_242	Thailand	Q869		14,101
dvp_032_place_243	Bangkok	Q1861		13.75,100.51666666667
dvp_032_place_244	Vietnam	Q881		16,108
dvp_032_place_245	Vietnam	Q881		16,108
dvp_032_place_246	Phnom Penh	Q1850		11.569583333333,104.92102777778
dvp_032_place_247	Phnom Penh	Q1850		11.569583333333,104.92102777778
dvp_032_place_248	Vietnam	Q881		16,108
dvp_032_place_249	Vietnam	Q881		16,108
dvp_032_place_250	Vietnam	Q881		16,108
dvp_032_place_251	Vietnam	Q881		16,108
dvp_032_place_252	Ho Chi Minh City	Q1854		10.816666666667,106.63333333333
dvp_032_place_253	England	Q21		53,-1
dvp_032_place_254	Vietnam	Q881		16,108
dvp_032_place_255	Vietnam	Q881		16,108
dvp_032_place_256	United States of America	Q30		39.828175,-98.5795
dvp_032_place_257	Hanoi	Q1858		21.0245,105.84117
dvp_032_place_258	My Khe Beach	Q10796763		16.0704,108.2461
dvp_032_place_259	United States of America	Q30		39.828175,-98.5795
dvp_032_place_260	Vietnam	Q881		16,108
dvp_032_place_261	China	Q29520		35,105
dvp_032_place_262	India	Q668		22.8,83
dvp_032_place_263	Brazil	Q155		-14,-53
dvp_032_place_264	Vietnam	Q881		16,108
dvp_032_place_265	Exeter	Q990504		42.981388888889,-70.947777777778
dvp_032_place_266	Australia	Q408		-28,137
dvp_032_place_267	Korea	Q18097		38.316666666667,127.23333333333
dvp_032_place_268	India	Q668		22.8,83
dvp_032_place_269	Norway	Q20		65,11
dvp_032_place_270	Colombia	Q739		4,-74
dvp_032_place_271	Bolivia	Q750		-17.056869611111,-64.991228611111
dvp_032_place_272	Boston	Q100		42.358333333333,-71.0625
dvp_032_place_273	Boston	Q100		42.358333333333,-71.0625
dvp_032_place_274	Vietnam	Q881		16,108
dvp_032_place_275	United States of America	Q30		39.828175,-98.5795
dvp_032_place_276	United States of America	Q30		39.828175,-98.5795
dvp_032_place_277	Vietnam	Q881		16,108
dvp_032_place_278	Washington, D.C.	Q61		38.895,-77.036666666667
dvp_032_place_279	Washington, D.C.	Q61		38.895,-77.036666666667
dvp_032_place_280	Washington, D.C.	Q61		38.895,-77.036666666667
dvp_032_place_281	Vietnam	Q881		16,108
dvp_032_place_282	Vietnam	Q881		16,108
dvp_032_place_283	Vietnam	Q881		16,108
dvp_032_place_284	Vietnam	Q881		16,108
dvp_032_place_285	Vietnam	Q881		16,108
dvp_032_place_286	China	Q29520		35,105
dvp_032_place_287	Soviet Union	Q15180		65,90
dvp_032_place_288	Korea	Q18097		38.316666666667,127.23333333333
