id	orgName	Qid	dvd_id
dvp_098_org_0	Dartmouth Vietnam Project		dvp_0020
dvp_098_org_1	Dartmouth College	Q49116	
dvp_098_org_2	Dartmouth College	Q49116	
dvp_098_org_3	Lancers Boys Club	Q108870579	
dvp_098_org_4	United States Navy	Q11220	
dvp_098_org_5	Dartmouth College	Q49116	
dvp_098_org_6	Ivy League	Q49113	
dvp_098_org_7	National Guard of the United States	Q928670	
dvp_098_org_8	Dartmouth College	Q49116	
dvp_098_org_9	Lancers Boys Club	Q108870579	
dvp_098_org_10	Dartmouth College	Q49116	
dvp_098_org_11	Harvard University	Q13371	
dvp_098_org_12	Johns Hopkins University	Q193727	
dvp_098_org_13	Dartmouth College	Q49116	
dvp_098_org_14	Williams College	Q49166	
dvp_098_org_15	Dartmouth College	Q49116	
dvp_098_org_16	Dartmouth College	Q49116	
dvp_098_org_17	Dartmouth College	Q49116	
dvp_098_org_18	Dartmouth College Department of Religion	Q108870608	
dvp_098_org_19	The Dartmouth	Q7729068	
dvp_098_org_20	The Dartmouth	Q7729068	
dvp_098_org_21	Students for a Democratic Society at Dartmouth	Q105445832	
dvp_098_org_22	Students for a Democratic Society	Q2250103	
dvp_098_org_23	Students for a Democratic Society	Q2250103	
dvp_098_org_24	Quakers	Q170208	
dvp_098_org_25	United States Armed Forces	Q11211	
dvp_098_org_26	Manchester NH Police	Q108870718	
dvp_098_org_27	Students for a Democratic Society	Q2250103	
dvp_098_org_28	Students for a Democratic Society	Q2250103	
dvp_098_org_29	Students for a Democratic Society	Q2250103	
dvp_098_org_30	Students for a Democratic Society	Q2250103	
dvp_098_org_31	Students for a Democratic Society	Q2250103	
dvp_098_org_32	Lancers Boys Club	Q108870579	
dvp_098_org_33	March of Dimes	Q751572	
dvp_098_org_34	Students for a Democratic Society	Q2250103	
dvp_098_org_35	Students for a Democratic Society	Q2250103	
dvp_098_org_36	Dartmouth College	Q49116	
dvp_098_org_37	Dartmouth College	Q49116	
dvp_098_org_38	Dartmouth College	Q49116	
dvp_098_org_39	Reserve Officers' Training Corps	Q489983	
dvp_098_org_40	United States Armed Forces	Q11211	
dvp_098_org_41	United States Department of Defense	Q11209	
dvp_098_org_42	United States Armed Forces	Q11211	
dvp_098_org_43	Black Power	Q880483	
dvp_098_org_44	Progressive Labor Party	Q7248756	
dvp_098_org_45	Students for a Democratic Society	Q2250103	
dvp_098_org_46	Students for a Democratic Society	Q2250103	
dvp_098_org_47	Vietnam Summer Campaign	Q107527919	
