id	persName	QID	dvp_id	
dvp_094_person_84	Barry Goldwater	Q319129		
dvp_094_person_85	Barry Goldwater	Q319129		
dvp_094_person_86	Ernest Gruening	Q878956		
dvp_094_person_87	Wayne Lyman Morse	Q676399		
dvp_094_person_88	J. William Fulbright	Q550255		
dvp_094_person_89	Lyndon B. Johnson	Q9640		
dvp_094_person_90	Lyndon B. Johnson	Q9640		
dvp_094_person_91	Wayne Lyman Morse	Q676399		
dvp_094_person_92	Ernest Gruening	Q878956		
dvp_094_person_93	J. William Fulbright	Q550255		
dvp_094_person_94	Lyndon B. Johnson	Q9640		
dvp_094_person_95	Martin Luther King Jr.	Q8027		
dvp_094_person_96	Edward Miller	Q107606594		
dvp_094_person_97	[Steven S.] “Steve” Sharfstein [Class of 1964]		dvp_0948	
dvp_094_person_98	Steve		dvp_0948	
dvp_094_person_99	Benjamin Spock	Q310694		
dvp_094_person_100	Benjamin Spock	Q310694		
dvp_094_person_101	Leon Trotsky	Q33391		
dvp_094_person_102	Benjamin Spock	Q310694		
dvp_094_person_103	Benjamin Spock	Q310694		
dvp_094_person_104	Lyndon B. Johnson	Q9640		
dvp_094_person_105	Steve Sharfstein		dvp_0948	
dvp_094_person_106	Dillinger			
dvp_094_person_107	George Wallace	Q313776		
dvp_094_person_108	Barry Goldwater	Q319129		
dvp_094_person_109	Stokely Carmichael	Q509860		
dvp_094_person_110	H. Rap Brown	Q5628517		
dvp_094_person_111	Eldridge Cleaver	Q1325716		
dvp_094_person_112	Hubert Humphrey	Q209989		
dvp_094_person_113	Bonnie Parker	Q2319886		
dvp_094_person_114	Clyde Barrow	Q3320282		
dvp_094_person_115	Lyndon B. Johnson	Q9640		
dvp_094_person_116	Lady Bird Johnson	Q233648		
dvp_094_person_117	Hubert Humphrey	Q209989		
dvp_094_person_118	Bonnie Parker	Q2319886		
dvp_094_person_119	Clyde Barrow	Q3320282		
dvp_094_person_120	Country Joe McDonald	Q722395		
dvp_094_person_121	Martin Luther King Jr.	Q8027		
dvp_094_person_122	John F. Kennedy	Q9696		
dvp_094_person_123	Jack [Ewall? Ewell? 58:57]		dvp_0949	
dvp_094_person_124	Dr. [Ewall? Ewell? 58:58]		dvp_0949	
dvp_094_person_125	Leonard Beerman	Q18685857		
dvp_094_person_126	Howard Zinn	Q119546		
dvp_094_person_127	Ho Chi Minh	Q36014		
