id	placeName	QID	dvp_id	coordinate location
dvp_023_place_120	Clark Air Force Base	Q1095676		15.185830555555556, 120.56028055555555
dvp_023_place_121	Naval Base Subic Bay	Q1458014		14.80777778,120.27805556
dvp_023_place_122	Subic Bay	Q1542528		14.8,120.23333333333
dvp_023_place_123	Subic Bay	Q1542528		14.8,120.23333333333
dvp_023_place_124	Clark Air Force Base	Q1095676		15.185830555555556, 120.56028055555555
dvp_023_place_125	Bangor	Q327012		44.803055555556,-68.7675
dvp_023_place_126	Philippines	Q928		12,123
dvp_023_place_127	Philippines	Q928		12,123
dvp_023_place_128	Vietnam	Q881		16,108
dvp_023_place_129	Gulf of Tonkin	Q212428		19.75,107.75
dvp_023_place_130	Subic Bay	Q1542528		14.8,120.23333333333
dvp_023_place_131	Hong Kong	Q8646		22.278333333333,114.15861111111
dvp_023_place_132	Philippines	Q928		12,123
dvp_023_place_133	Olongapo	Q56759		14.833333333333,120.28333333333
dvp_023_place_134	Olongapo	Q56759		14.833333333333,120.28333333333
dvp_023_place_135	Michigan	Q1166		44.34,-85.58
dvp_023_place_136	Livonia	Q853552		42.401111111111,-83.371111111111
dvp_023_place_137	North Vietnam	Q172640		21.033333,105.85
dvp_023_place_138	Vietnam	Q881		16,108
dvp_023_place_139	North Vietnam	Q172640		21.033333,105.85
dvp_023_place_140	South Vietnam	Q180573		10.75,106.66666666667
dvp_023_place_141	Vietnam	Q881		16,108
dvp_023_place_142	Virginia	Q1370		37.5,-79
dvp_023_place_143	San Diego	Q16552		32.715,-117.1625
dvp_023_place_144	Virginia	Q1370		37.5,-79
dvp_023_place_145	Vietnam	Q881		16,108
dvp_023_place_146	Hong Kong	Q8646		22.278333333333,114.15861111111
dvp_023_place_147	Hong Kong	Q8646		22.278333333333,114.15861111111
dvp_023_place_148	Hong Kong	Q8646		22.278333333333,114.15861111111
dvp_023_place_149	Virginia Beach	Q49259		36.8506,-75.9779
dvp_023_place_150	Vietnam	Q881		16,108
dvp_023_place_151	Naval Air Station Oceana	Q1394215		36.8206,-76.0333
dvp_023_place_152	Gulf of Tonkin	Q212428		19.75,107.75
dvp_023_place_153	Cambodia	Q424		12.6,105
dvp_023_place_154	Laos	Q819		18.2,104
dvp_023_place_155	North Vietnam	Q172640		21.033333,105.85
dvp_023_place_156	Vinh	Q33428		18.673333333333,105.69222222222
dvp_023_place_157	Da Nang	Q25282		16.031944444444445,108.22055555555555
dvp_023_place_158	Cambodia	Q424		12.6,105
dvp_023_place_159	Cambodia	Q424		12.6,105
dvp_023_place_160	Laos	Q819		18.2,104
dvp_023_place_161	Da Nang	Q25282		16.031944444444445,108.22055555555555
dvp_023_place_162	Central Highlands	Q1140648		13.75,108.25
dvp_023_place_163	Central Highlands	Q1140648		13.75,108.25
dvp_023_place_164	Vietnam	Q881		16,108
dvp_023_place_165	Central Highlands	Q1140648		13.75,108.25
dvp_023_place_166	Naval Air Station Oceana	Q1394215		36.8206,-76.0333
dvp_023_place_167	Washington, D.C.	Q61		38.895,-77.036666666667
dvp_023_place_168	New York City	Q60		40.67,-73.94
dvp_023_place_169	Boston	Q100		42.358333333333,-71.0625
dvp_023_place_170	North Vietnam	Q172640		21.033333,105.85
dvp_023_place_171	Vietnam	Q881		16,108
dvp_023_place_172	Vietnam	Q881		16,108
dvp_023_place_173	United States of America	Q30		39.828175,-98.5795
dvp_023_place_174	Austin	Q16559		30.3,-97.733333333333
dvp_023_place_175	Vietnam	Q881		16,108
dvp_023_place_176	Vietnam	Q881		16,108
dvp_023_place_177	Afghanistan	Q889		34,66
dvp_023_place_178	Dartmouth College	Q49116		43.703333333333,-72.288333333333
dvp_023_place_179	Dartmouth College	Q49116		43.703333333333,-72.288333333333
