id	name
dvp_018_event1	World War II
dvp_018_event2	Space Race
dvp_018_event3	Pacific theater
dvp_018_event4	V-J Day
dvp_018_event5	Vietnam War
dvp_018_event6	Cold War
dvp_018_event7	[President John F.] Kennedy was assassinated
dvp_018_event8	Parkhurst [the Parkhurst takeover]
dvp_018_event9	Vietnam
dvp_018_event10	the Depression
dvp_018_event11	Kennedy was assassinated
dvp_018_event12	Kennedy assassination
dvp_018_event13	War in Vietnam
dvp_018_event14	Watts riots
dvp_018_event15	Watts riot
dvp_018_event16	Watts
dvp_018_event17	King assassination
dvp_018_event18	Malcolm X assassination
dvp_018_event19	Robert [F.] Kennedy assassination
dvp_018_event20	March on Washington [D.C.]
dvp_018_event21	March on Washington
dvp_018_event22	Parkhurst
dvp_018_event23	New Hampshire primary
dvp_018_event24	war in Vietnam
dvp_018_event25	Parkhurst takeover
